Txn RefNo,Txndate,Description,Debit,Credit
LSP405211,4/2/2025,test tran1,201111111.00 ,0.00 
LSP407208,1/3/2025,test tran2,201111112.00 ,0.00 
LSP408515,5/2/2025,test tran3,201111113.00 ,0.00 
LSP110288,5/3/2025,test tran4,0.00 ,4115242.00 
LSP404320,5/11/2024,test tran5,0.00 ,4023628.00 
LSP66196,5/11/2024,test tran6,0.00 ,4380223.00 
LSP66509,5/12/2024,test tran7,0.00 ,4380223.00 
LSP82611,5/12/2024,test tran8,0.00 ,4293509.00 
LSP83565,4/2/2025,test tran9,0.00 ,4293509.00 
LSP93756,1/3/2025,test tran10,0.00 ,4205192.00 
LSP75483,5/2/2025,test tran11,0.00 ,108486128.00 
LSP75483,5/2/2025,test tran11,0.00 ,108486128.00 
LSP82611,5/12/2024,test tran8,4293509.00 ,
LSP83568,4/2/2025,test tran9,0.00 ,4293509.00 
LSP82611,5/12/2024,test tran8,0.00 ,4293509.00 
LSP405211,4/2/2025,test tran1,201111111.00 ,0.00 
